DateTime,Entries,UniqueIPs
1478480924,70,70
1478484525,71,71
1478491722,59,59
1478495338,60,60
1478498948,59,59
1478520539,58,58
1478524136,59,59
1478538554,57,57
1478542126,58,58
1478545724,59,59
1478560131,58,58
1478567334,82,82
1478574556,81,81
1478578151,62,62
1478610572,63,63
1478624945,61,61
1478628545,62,62
1478653765,73,73
1478657331,74,74
1478664554,56,56
1478668148,55,55
1478700561,56,56
1478711363,55,55
1478736556,82,82
1478747353,69,69
1478750944,68,68
1478826543,83,83
1478830155,84,84
1478833753,83,83
1478837343,59,59
1478844552,58,58
1478848188,59,59
1478858948,58,58
1478869834,57,57
1478912959,69,69
1478920160,69,69
1478923754,58,58
1478927350,55,55
1478934571,54,54
1478941751,55,55
1478956155,54,54
1478959754,55,55
1478999339,75,75
1479002954,76,76
1479010140,52,52
1479013730,51,51
1479038954,52,52
1479042547,53,53
1479053342,52,52
1479056941,51,51
1479060545,52,52
1479085735,73,73
1479089336,74,74
1479096543,58,58
1479103744,57,57
1479107343,56,56
1479110940,57,57
1479168552,72,72
1479175750,71,71
1479179334,59,59
1479182941,58,58
1479226146,59,59
1479237349,58,58
1479254926,58,58
1479258519,72,72
1479269325,54,54
1479272928,53,53
1479287405,54,54
1479294802,56,56
1479302276,56,56
1479305993,54,54
1479308976,58,58
1479319735,54,54
1479344911,78,78
1479352124,77,77
1479355734,57,57
1479359318,54,54
1479366549,55,55
1479370135,54,54
1479380929,53,53
1479388145,55,55
1479391731,56,56
1479398939,54,54
1479417123,53,53
1479427871,68,68
1479431440,69,69
1479435178,69,69
1479438785,56,56
1479442208,56,56
1479445753,55,55
1479449332,54,54
1479460134,55,55
1479474542,54,54
1479485343,55,55
1479517729,67,67
1479521336,69,69
1479524924,68,68
1479528531,54,54
1479535722,52,52
1479539350,53,53
1479550135,52,52
1479564534,53,53
1479575329,52,52
1479578939,53,53
1479586123,54,54
1479589729,55,55
1479596935,54,54
1479600525,53,53
1479604133,77,77
1479607724,78,78
1479611331,77,77
1479614933,59,59
1479618546,58,58
1479625748,57,57
1479647336,56,56
1479650939,57,57
1479661752,58,58
1479676132,57,57
1479686947,56,56
1479690524,67,67
1479694133,68,68
1479697739,69,69
1479701334,54,54
1479712139,55,55
1479722937,54,54
1479776923,72,72
1479780528,73,73
1479784132,72,72
1479787723,57,57
1479791335,57,57
1479794913,56,56
1479816538,55,55
1479820136,56,56
1479823770,57,57
1479830939,56,56
1479859728,55,55
1479863337,79,79
1479874131,59,59
1479877731,58,58
1479881320,59,59
1479895731,58,58
1479910132,57,57
1479920935,58,58
1479931717,59,59
1479946145,58,58
1479949715,91,91
1479960530,78,78
1479964113,77,77
