DateTime,Entries,UniqueIPs
1480416962,6994,7087
1480420563,6999,7092
1480424162,7010,7104
1480427762,7012,7105
1480431363,7023,7116
1480434962,7033,7127
1480438562,7042,7136
1480442162,7052,7147
1480445763,7059,7154
1480449362,7067,7162
1480452962,7073,7169
1480456563,7083,7179
1480460163,7090,7187
1480463762,7095,7192
1480467362,7090,7187
1480470962,7091,7186
1480474562,7093,7188
1480478163,7093,7188
1480481762,7083,7179
1480485363,7086,7182
1480488962,7085,7181
1480492563,7094,7192
1480496163,7099,7197
1480499762,7098,7196
1480503362,7106,7204
1480506962,7103,7200
1480510563,7109,7206
1480514162,7114,7211
1480517762,7119,7217
1480521362,7128,7226
1480524962,7134,7233
1480528563,7142,7241
1480532162,7130,7231
1480535762,7135,7237
1480539362,7113,7213
1480542963,7116,7216
1480546563,7122,7222
1480550163,7122,7222
1480553762,7120,7220
1480557362,7119,7218
1480560962,7132,7232
1480564563,7135,7235
1480568162,7137,7237
1480571763,7143,7243
1480575362,7143,7243
1480578962,7143,7242
1480582562,7150,7249
1480586163,7158,7257
1480589763,7159,7257
1480593362,7154,7251
1480596963,7154,7251
1480600562,7156,7253
1480604162,7164,7261
1480607763,7162,7259
1480611363,7175,7272
1480614963,7186,7284
1480618563,7192,7291
1480622163,7202,7301
1480625762,7205,7305
1480629362,7211,7311
1480632962,7229,7329
1480636563,7232,7332
1480640162,7232,7332
1480643762,7228,7328
1480647363,7233,7333
1480650962,7233,7333
1480654562,7236,7336
1480658163,7241,7341
1480661763,7241,7341
1480665362,7244,7345
1480668963,7246,7348
1480672562,7243,7345
1480676163,7248,7350
1480679763,7257,7358
1480683363,7259,7360
1480686962,7269,7370
1480690563,7279,7380
1480694162,7285,7386
1480697763,7295,7397
1480701363,7301,7403
1480704963,7309,7412
1480708563,7310,7412
1480712163,7317,7420
1480715762,7324,7428
1480719363,7331,7435
1480722962,7335,7439
1480726562,7330,7434
1480730162,7325,7429
1480733762,7331,7435
1480737363,7337,7441
1480740962,7340,7444
