DateTime,AddedIPs,RemovedIPs
1480592191,12,0
1480592999,23,1
1480593675,11,0
1480594598,7,0
1480595218,7,0
1480596028,5,0
1480597719,2,0
1480598411,0,3
1480599214,1,1
1480599847,10,2
1480600581,1,0
1480601290,23,0
1480602030,7,0
1480602794,26,2
1480603455,6,0
1480604179,6,1
1480604894,13,0
1480605628,10,1
1480606340,17,0
1480607161,7,0
1480611669,0,69
1480658903,0,1
1480680747,0,1
1480684121,0,1
1480700190,0,1
1480701691,0,5
1480749394,0,1
1480759306,0,4
1480762878,0,1
1480765004,0,1
1480779629,0,1
1480786376,0,1
1480817805,0,7
1480825207,0,1
1480830265,0,1
1480838231,0,1
1480884505,0,1
1480895533,8,0
1480896283,9,0
1480897233,7,0
1480897943,14,0
1480898660,21,0
1480899375,4,0
1480900120,4,0
1480900807,2,0
1480901551,11,0
1480902529,9,0
1480903269,2,0
1480903944,4,0
1480904651,1,0
1480905386,12,0
1480906092,7,0
1480906895,22,0
1480907555,7,0
1480908254,2,0
1480956765,0,1
1480993708,0,3
1481027988,0,1
1481052744,0,1
1481082012,0,1
1481090204,0,3
1481115419,0,1
1481126175,0,1
1481150215,15,0
1481150893,24,0
1481151498,27,0
1481152104,8,0
1481153462,18,0
1481155347,2,0
1481156178,1,0
1481157606,2,0
1481158721,22,0
1481159535,8,0
1481160536,6,0
1481161205,5,0
1481161932,1,0
1481162650,5,0
1481163616,7,0
1481164517,13,0
1481165291,11,0
1481166015,9,0
1481166726,14,0
1481167452,2,0
1481168067,8,0
1481168930,3,3
1481170006,14,0
1481193860,7,0
1481201310,3,0
1481202742,0,1
1481207301,1,0
1481214756,0,1
1481215450,0,10
1481216191,0,3
1481222655,0,19
1481232036,0,1
1481234899,0,5
1481235625,0,5
1481236605,0,4
1481238067,0,3
1481239945,0,8
1481240656,0,1
1481241377,0,2
1481242109,0,1
1481243078,0,2
1481244516,0,1
1481245950,0,1
1481246648,0,4
1481247397,0,7
1481248132,0,7
1481248911,0,4
1481251281,0,4
1481251930,0,3
1481252669,0,2
1481253378,1,3
1481254115,0,2
1481254813,2,2
1481257732,0,5
1481258448,1,1
1481259205,0,2
1481259950,0,2
1481261303,0,1
1481262750,0,2
1481263465,0,1
1481264182,0,1
1481264906,0,2
1481265634,0,3
1481267324,1,1
1481268036,0,1
1481268747,0,1
1481269480,0,1
1481270176,0,1
1481271604,0,2
1481273795,0,18
1481274505,0,5
1481276659,0,2
1481278118,0,3
1481278815,0,1
1481281712,0,6
1481283137,0,1
1481283858,0,2
1481285329,0,1
1481286028,0,1
1481287446,0,1
1481291788,0,1
1481293227,0,2
1481293936,0,1
1481295682,0,3
1481297046,0,141
1481304274,1,0
1481366910,0,3
1481367676,0,2
1481382522,0,10
1481385675,0,1
1481386358,0,5
1481387787,0,17
1481388495,0,1
1481389299,1,1
1481392871,0,1
1481393801,0,1
1481394500,0,1
1481395932,1,0
1481396675,0,1
1481398105,0,4
1481399549,0,1
1481400271,0,3
1481402656,0,44
1481404133,0,1
1481405081,0,81
1481407272,0,1
1481409392,0,1
1481412266,0,1
1481413241,0,1
1481415643,0,3
1481416347,0,1
1481417060,0,2
1481417780,0,2
1481418503,0,2
1481419218,0,1
1481419942,0,5
1481420656,0,4
1481421387,0,2
1481422115,0,1
1481422811,0,7
1481423546,0,2
1481424264,0,8
1481425275,0,2
1481425940,0,10
1481426662,0,12
1481428136,0,3
1481428871,0,2
1481429565,0,3
1481430984,0,3
1481431694,1,0
1481432492,0,5
1481434120,0,4
1481434820,0,2
1481435554,0,3
1481436528,0,3
1481437209,0,1
1481438195,0,2
1481439708,0,6
1481441303,0,3
1481442751,0,2
1481444899,0,1
1481445616,0,3
1481446367,0,3
1481448283,0,5
1481451379,0,5
1481452121,0,3
1481452811,0,4
1481453544,1,1
1481454268,0,2
1481454988,0,1
1481456417,0,2
1481457165,0,2
1481459539,0,1
1481460275,1,3
1481460969,0,6
1481461743,0,5
1481463147,0,4
1481463851,0,1
1481464597,0,1
1481465304,0,1
1481466021,0,1
1481466736,0,1
1481467467,0,3
1481468170,0,2
1481468908,0,1
1481469642,0,1
1481471060,0,1
1481472506,2,1
1481473223,0,1
1481476126,0,5
1481477064,0,1
1481478513,0,1
1481480650,0,2
1481481390,0,1
1481483330,0,8
1481484035,0,1
1481486175,0,1
1481486908,0,1
1481489805,0,3
1481490498,0,1
1481491943,0,1
1481494808,0,1
1481495551,0,3
1481496989,0,2
1481497701,0,1
1481500576,0,1
1481501349,0,1
1481502752,0,1
1481506107,0,3
1481507551,0,1
1481515725,0,4
1481517848,0,1
1481523148,0,4
1481526088,0,1
1481529706,0,2
1481531783,0,2
1481532512,0,4
1481540486,0,1
1481541861,0,1
1481542573,0,2
1481544742,0,2
1481548597,0,1
1481552663,1,0
1481554109,0,2
1481554881,0,1
1481557218,0,1
1481557948,1,0
1481558676,0,2
1481560342,0,1
1481561779,0,1
1481564917,0,1
1481567059,1,0
1481568514,0,1
1481569297,0,1
1481570948,0,1
1481572580,1,0
1481580526,0,3
1481583387,1,1
1481586268,0,2
1481587701,0,2
1481588421,1,1
1481590582,0,1
1481601382,0,1
1481602834,0,1
1481604258,1,0
1481608595,0,1
1481609319,0,1
1481612901,0,1
1481614351,0,1
1481616530,0,1
1481619684,1,0
1481620597,0,1
1481627325,0,1
1481629452,0,2
1481633063,0,1
1481635210,0,1
1481638103,0,2
1481639538,0,1
1481641723,0,1
1481644579,0,1
1481646271,0,1
1481647702,0,1
1481653449,0,1
1481657061,0,2
1481659287,0,1
1481661611,0,2
1481662345,0,1
1481670754,1,0
1481672904,0,1
